GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2021-10-14,,Montreal Canadiens,5,1,W,,1,0,0,W 1,8467,2:26,
2,2021-10-16,,Arizona Coyotes,2,1,W,SO,2,0,0,W 2,7872,2:28,
3,2021-10-19,,Vancouver Canucks,5,2,W,,3,0,0,W 3,7376,2:17,
4,2021-10-22,,Boston Bruins,1,4,L,,3,1,0,L 1,7820,2:16,
5,2021-10-23,@,New Jersey Devils,1,2,L,OT,3,1,1,L 2,13158,2:29,
6,2021-10-25,,Tampa Bay Lightning,5,1,W,,4,1,1,W 1,7417,2:25,
7,2021-10-28,@,Anaheim Ducks,4,3,W,OT,5,1,1,W 2,12014,2:25,
8,2021-10-31,@,Los Angeles Kings,2,3,L,,5,2,1,L 1,12101,2:19,
9,2021-11-02,@,San Jose Sharks,3,5,L,,5,3,1,L 2,10059,2:19,
10,2021-11-04,@,Seattle Kraken,2,5,L,,5,4,1,L 3,17151,2:30,
11,2021-11-06,,Detroit Red Wings,3,4,L,OT,5,4,2,L 4,8171,2:25,
12,2021-11-08,@,Washington Capitals,3,5,L,,5,5,2,L 5,18573,2:24,
13,2021-11-12,,Edmonton Oilers,3,2,W,,6,5,2,W 1,8258,2:34,
14,2021-11-13,,Toronto Maple Leafs,4,5,L,,6,6,2,L 1,7992,2:21,
15,2021-11-16,@,Pittsburgh Penguins,2,1,W,,7,6,2,W 1,16366,2:30,
16,2021-11-18,,Calgary Flames,0,5,L,,7,7,2,L 1,7753,2:16,
17,2021-11-21,@,New York Rangers,4,5,L,,7,8,2,L 2,17256,2:21,
18,2021-11-22,,Columbus Blue Jackets,4,7,L,,7,9,2,L 3,7978,2:22,
19,2021-11-24,,Boston Bruins,1,5,L,,7,10,2,L 4,9416,2:23,
20,2021-11-26,,Montreal Canadiens,4,1,W,,8,10,2,W 1,9958,2:20,
21,2021-11-27,@,Detroit Red Wings,2,3,L,OT,8,10,3,L 1,18050,2:27,
22,2021-11-29,,Seattle Kraken,4,7,L,,8,11,3,L 2,10004,2:26,
23,2021-12-02,@,Florida Panthers,4,7,L,,8,12,3,L 3,11751,2:28,
24,2021-12-04,@,Carolina Hurricanes,2,6,L,,8,13,3,L 4,18680,2:33,
25,2021-12-07,,Anaheim Ducks,0,2,L,,8,14,3,L 5,8133,2:16,
26,2021-12-10,,New York Rangers,1,2,L,,8,15,3,L 6,9703,2:27,
27,2021-12-11,,Washington Capitals,2,3,L,SO,8,15,4,L 7,9554,2:38,
28,2021-12-14,@,Winnipeg Jets,4,2,W,,9,15,4,W 1,13484,2:15,
29,2021-12-16,@,Minnesota Wild,3,2,W,SO,10,15,4,W 2,18022,2:36,
30,2021-12-17,@,Pittsburgh Penguins,2,3,L,OT,10,15,5,L 1,17456,2:33,
31,2021-12-29,,New Jersey Devils,3,4,L,,10,16,5,L 2,11511,2:13,
32,2021-12-30,@,New York Islanders,1,4,L,,10,17,5,L 3,17255,2:22,
33,2022-01-01,@,Boston Bruins,3,4,L,OT,10,17,6,L 4,17850,2:39,
34,2022-01-06,,San Jose Sharks,2,3,L,,10,18,6,L 5,8117,2:22,
35,2022-01-11,,Tampa Bay Lightning,1,6,L,,10,19,6,L 6,8368,2:18,
36,2022-01-13,@,Nashville Predators,4,1,W,,11,19,6,W 1,17159,2:25,
37,2022-01-15,@,Detroit Red Wings,0,4,L,,11,20,6,L 1,19515,2:22,
38,2022-01-17,,Detroit Red Wings,2,3,L,OT,11,20,7,L 2,8839,2:26,
39,2022-01-18,@,Ottawa Senators,3,1,W,,12,20,7,W 1,,2:26,
40,2022-01-20,,Dallas Stars,4,5,L,,12,21,7,L 1,7808,2:35,
41,2022-01-22,,Philadelphia Flyers,6,3,W,,13,21,7,W 1,9264,2:24,
42,2022-01-25,@,Ottawa Senators,0,5,L,,13,22,7,L 1,,2:29,
43,2022-01-29,@,Arizona Coyotes,3,1,W,,14,22,7,W 1,12853,2:16,
44,2022-01-30,@,Colorado Avalanche,1,4,L,,14,23,7,L 1,17456,2:31,
45,2022-02-01,@,Vegas Golden Knights,2,5,L,,14,24,7,L 2,18235,2:27,
46,2022-02-10,,Columbus Blue Jackets,3,4,L,OT,14,24,8,L 3,8476,2:23,
47,2022-02-13,@,Montreal Canadiens,5,3,W,,15,24,8,W 1,500,2:19,
48,2022-02-15,,New York Islanders,6,3,W,,16,24,8,W 2,9296,2:25,
49,2022-02-17,,Ottawa Senators,1,3,L,,16,25,8,L 1,7026,2:22,
50,2022-02-19,,Colorado Avalanche,3,5,L,,16,26,8,L 2,10526,2:18,
51,2022-02-20,@,Columbus Blue Jackets,3,7,L,,16,27,8,L 3,18608,2:39,
52,2022-02-23,@,Montreal Canadiens,0,4,L,,16,28,8,L 4,10552,2:22,
53,2022-02-25,@,St. Louis Blues,3,5,L,,16,29,8,L 5,18096,2:23,
54,2022-02-27,@,Dallas Stars,2,4,L,,16,30,8,L 6,18532,2:27,
55,2022-03-02,@,Toronto Maple Leafs,5,1,W,,17,30,8,W 1,17122,2:19,
56,2022-03-04,,Minnesota Wild,5,4,W,,18,30,8,W 2,8462,2:29,
57,2022-03-06,,Los Angeles Kings,0,3,L,,18,31,8,L 1,10775,2:32,
58,2022-03-07,,Florida Panthers,1,6,L,,18,32,8,L 2,7906,2:24,
59,2022-03-10,,Vegas Golden Knights,3,1,W,,19,32,8,W 1,12437,2:24,
60,2022-03-13,,Toronto Maple Leafs,5,2,W,,20,32,8,W 2,26119,2:46,at Tim Horton's Field (ON Ha)
61,2022-03-17,@,Edmonton Oilers,1,6,L,,20,33,8,L 1,15883,2:28,
62,2022-03-18,@,Calgary Flames,1,0,W,OT,21,33,8,W 1,16685,2:23,
63,2022-03-20,@,Vancouver Canucks,3,2,W,OT,22,33,8,W 2,18873,2:32,
64,2022-03-23,,Pittsburgh Penguins,4,3,W,SO,23,33,8,W 3,9399,2:35,
65,2022-03-25,,Washington Capitals,3,4,L,SO,23,33,9,L 1,9740,2:35,
66,2022-03-27,@,New York Rangers,4,5,L,OT,23,33,10,L 2,18006,2:25,
67,2022-03-28,@,Chicago Blackhawks,6,5,W,,24,33,10,W 1,18648,2:23,
68,2022-03-30,,Winnipeg Jets,2,3,L,SO,24,33,11,L 1,8055,2:30,
69,2022-04-01,,Nashville Predators,4,3,W,,25,33,11,W 1,19070,2:22,
70,2022-04-03,,Florida Panthers,3,5,L,,25,34,11,L 1,11787,2:29,
71,2022-04-05,,Carolina Hurricanes,4,2,W,,26,34,11,W 1,8984,2:25,
