GP,Date,,Opponent,GF,GA,Result,OT,W,L,OL,Streak,Att.,LOG,Notes
1,2023-10-12,,New York Rangers,1,5,L,,0,1,0,L 1,19070,2:26,
2,2023-10-14,@,New York Islanders,2,3,L,,0,2,0,L 2,17255,2:29,
3,2023-10-17,,Tampa Bay Lightning,3,2,W,OT,1,2,0,W 1,12598,2:27,
4,2023-10-19,,Calgary Flames,3,4,L,,1,3,0,L 1,13025,2:34,
5,2023-10-21,,New York Islanders,3,1,W,,2,3,0,W 1,16179,2:27,
6,2023-10-23,,Montreal Canadiens,1,3,L,,2,4,0,L 1,13507,2:22,
7,2023-10-24,@,Ottawa Senators,6,4,W,,3,4,0,W 1,14278,2:38,
8,2023-10-27,@,New Jersey Devils,4,5,L,,3,5,0,L 1,16514,2:30,
9,2023-10-29,,Colorado Avalanche,4,0,W,,4,5,0,W 1,15717,2:25,
10,2023-11-01,@,Philadelphia Flyers,5,2,W,,5,5,0,W 2,17279,2:30,
11,2023-11-03,,Philadelphia Flyers,1,5,L,,5,6,0,L 1,16612,2:12,
12,2023-11-04,@,Toronto Maple Leafs,6,4,W,,6,6,0,W 1,18902,2:28,
13,2023-11-07,@,Carolina Hurricanes,2,3,L,OT,6,6,1,L 1,18700,2:25,
14,2023-11-10,,Minnesota Wild,3,2,W,,7,6,1,W 1,17031,2:26,
15,2023-11-11,@,Pittsburgh Penguins,0,4,L,,7,7,1,L 1,18429,2:16,
16,2023-11-14,,Boston Bruins,2,5,L,,7,8,1,L 2,14840,2:21,
17,2023-11-17,@,Winnipeg Jets,2,3,L,,7,9,1,L 3,11340,2:21,
18,2023-11-19,@,Chicago Blackhawks,3,2,W,,8,9,1,W 1,19027,2:21,
19,2023-11-22,@,Washington Capitals,3,4,L,OT,8,9,2,L 1,18573,2:29,
20,2023-11-24,,Pittsburgh Penguins,3,2,W,,9,9,2,W 1,19070,2:29,
21,2023-11-25,@,New Jersey Devils,2,7,L,,9,10,2,L 1,16514,2:24,
22,2023-11-27,@,New York Rangers,5,1,W,,10,10,2,W 1,18006,2:21,
23,2023-11-30,@,St. Louis Blues,4,6,L,,10,11,2,L 1,18096,2:27,
24,2023-12-02,@,Carolina Hurricanes,2,6,L,,10,12,2,L 2,18797,2:27,
25,2023-12-03,,Nashville Predators,1,2,L,,10,13,2,L 3,14644,2:25,
26,2023-12-05,,Detroit Red Wings,3,5,L,,10,14,2,L 4,14800,2:28,
